Player's hand,Other player's cards,Win %,Lose %,Push %,Avg profit $,Ending bankroll $,High Card %,Pair %,Two Pair %,Trips %,Straight %,Flush %,Full House %,Quads %,Straight Flush %,Royal Flush %
"10c,9d",,0.12,0.57,0.3,-13.28,-12283920,52.57039999999999,35.5496,4.0381,1.5669,1.2932000000000001,0.0,0.0969,0.009899999999999999,0.0,0.0
"10c,9d",2x,0.12,0.56,0.31,-12.49,-11495680,52.0787,36.179899999999996,4.1451,1.6326,1.3836,0.0,0.0996,0.012199999999999999,0.0,0.0
"10c,9d","2x,5x,3x",0.13,0.54,0.32,-10.7,-9707040,50.89169999999999,37.7557,4.404,1.7344,1.5959999999999999,0.0,0.1156,0.0156,0.0,0.0
"10c,9d","2x,5x,3x,4x,2x,5x",0.15,0.5,0.34,-7.72,-6726360,48.603,40.3725,4.8472,1.9702000000000002,1.9231000000000003,0.0,0.1349,0.0157,0.0,0.0
"10c,9d","2x,5x,3x,4x,2x,5x,3x,4x",0.16,0.48,0.35,-5.18,-4186880,46.7561,42.2325,5.2584,2.1593,2.2228000000000003,0.0,0.16,0.0196,0.0,0.0
"10c,9d","2x,5x,3x,4x,2x,5x,3x,4x,2x,5x",0.18,0.45,0.36,-2.35,-1355080,44.2749,44.1054,5.8144,2.3321,2.6127000000000002,0.0,0.185,0.0207,0.0,0.0
