Player's hand,Other player's cards,Win %,Lose %,Push %,Avg profit $,Ending bankroll $,High Card %,Pair %,Two Pair %,Trips %,Straight %,Flush %,Full House %,Quads %,Straight Flush %,Royal Flush %
"Js,6c",,0.22,0.59,0.18,-3.43,656280,47.934,38.609,4.052,1.599,0.0,0.0,0.08499999999999999,0.009000000000000001,0.0,0.0
"Js,5c",,0.18,0.76,0.05,-8.94,105870,31.735999999999997,29.354000000000003,3.5340000000000003,1.359,0.0,0.0,0.093,0.016,0.0,0.0
"Js,4c",,0.18,0.76,0.05,-8.99,100750,31.872,29.233999999999998,3.521,1.396,0.0,0.0,0.086,0.013,0.0,0.0
"Js,3c",,0.18,0.76,0.04,-8.81,118450,31.779000000000003,29.162,3.592,1.435,0.0,0.0,0.083,0.01,0.0,0.0
"Js,2c",,0.18,0.76,0.04,-9.26,73870,31.818,29.311999999999998,3.457,1.37,0.0,0.0,0.077,0.009000000000000001,0.0,0.0
"10s,10c",,0.28,0.0,0.71,83.8,9379900,0.0,71.724,16.145,10.923,0.0,0.0,0.9860000000000001,0.22200000000000003,0.0,0.0
"10s,9c",,0.1,0.67,0.22,-7.24,274930,26.966,26.982,3.2230000000000003,1.304,1.2449999999999999,0.0,0.094,0.009000000000000001,0.0,0.0
"10s,8c",,0.1,0.67,0.22,-7.45,254250,27.141,27.094,3.405,1.3259999999999998,0.9490000000000001,0.0,0.092,0.01,0.0,0.0
"10s,7c",,0.09,0.68,0.22,-8.28,171590,27.657999999999998,27.322999999999997,3.2070000000000003,1.3780000000000001,0.639,0.0,0.095,0.008,0.0,0.0
"10s,6c",,0.09,0.68,0.22,-8.96,103390,28.253,27.089999999999996,3.251,1.3,0.315,0.0,0.091,0.015,0.0,0.0
"10s,5c",,0.0,1.0,0.0,-9.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"10s,4c",,0.0,1.0,0.0,-9.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"10s,3c",,0.0,1.0,0.0,-9.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"10s,2c",,0.0,1.0,0.0,-9.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"9s,9c",,0.28,0.0,0.72,84.45,9445300,0.0,71.966,16.028000000000002,10.729,0.0,0.0,1.0290000000000001,0.248,0.0,0.0
"9s,8c",,0.1,0.67,0.22,-7.09,289920,27.361,27.004,3.3230000000000004,1.347,1.133,0.0,0.092,0.013999999999999999,0.0,0.0
"9s,7c",,0.09,0.68,0.22,-7.95,204610,27.543,27.078000000000003,3.2910000000000004,1.3820000000000001,0.782,0.0,0.077,0.012,0.0,0.0
"9s,6c",,0.09,0.68,0.22,-8.68,130970,27.85,27.136,3.283,1.322,0.451,0.0,0.082,0.012,0.0,0.0
"9s,5c",,0.0,1.0,0.0,-9.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"9s,4c",,0.0,1.0,0.0,-9.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"9s,3c",,0.0,1.0,0.0,-9.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"9s,2c",,0.0,1.0,0.0,-9.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"8s,8c",,0.28,0.0,0.71,85.3,9530400,0.0,71.809,16.179,10.732,0.0,0.0,1.015,0.265,0.0,0.0
"8s,7c",,0.09,0.68,0.22,-8.18,181250,27.688000000000002,27.150000000000002,3.2070000000000003,1.3390000000000002,0.784,0.0,0.08800000000000001,0.008,0.0,0.0
"8s,6c",,0.09,0.68,0.22,-8.64,135610,28.474,26.717000000000002,3.3390000000000004,1.407,0.455,0.0,0.084,0.012,0.0,0.0
"8s,5c",,0.0,1.0,0.0,-9.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"8s,4c",,0.0,1.0,0.0,-9.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"8s,3c",,0.0,1.0,0.0,-9.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"8s,2c",,0.0,1.0,0.0,-9.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"7s,7c",,0.28,0.0,0.72,84.1,9410400,0.0,72.012,16.136,10.624,0.0,0.0,0.972,0.256,0.0,0.0
"7s,6c",,0.09,0.68,0.22,-8.59,139970,27.956999999999997,26.878999999999998,3.338,1.388,0.436,0.0,0.079,0.013,0.0,0.0
"7s,5c",,0.0,1.0,0.0,-9.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"7s,4c",,0.0,1.0,0.0,-9.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"7s,3c",,0.0,1.0,0.0,-9.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"7s,2c",,0.0,1.0,0.0,-9.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"6s,6c",,0.28,0.0,0.71,86.29,9629600,0.0,71.625,16.235,10.862,0.0,0.0,0.996,0.28200000000000003,0.0,0.0
"6s,5c",,0.0,1.0,0.0,-9.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"6s,4c",,0.0,1.0,0.0,-9.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"6s,3c",,0.0,1.0,0.0,-9.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"6s,2c",,0.0,1.0,0.0,-9.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"5s,5c",,0.0,1.0,0.0,-9.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"5s,4c",,0.0,1.0,0.0,-9.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"5s,3c",,0.0,1.0,0.0,-9.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"5s,2c",,0.0,1.0,0.0,-9.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
