Player's hand,Other player's cards,Win %,Lose %,Push %,Total profit $,Ending bankroll $,High Card %,Pair %,Two Pair %,Trips %,Straight %,Flush %,Full House %,Quads %,Straight Flush %,Royal Flush %
"9s,3c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"9s,2c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"8s,8c",,0.28,0.0,0.71,825300,1825300,0.0,71.7,16.400000000000002,10.71,0.0,0.0,1.0,0.19,0.0,0.0
"8s,7c",,0.09,0.68,0.21,-87570,912430,28.549999999999997,26.529999999999998,3.1300000000000003,1.32,0.7100000000000001,0.0,0.09,0.01,0.0,0.0
"8s,6c",,0.09,0.68,0.22,-98990,901010,27.91,27.04,3.16,1.2,0.48,0.0,0.06,0.0,0.0,0.0
"8s,5c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"8s,4c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"8s,3c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"8s,2c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"7s,7c",,0.28,0.0,0.71,862500,1862500,0.0,71.23,16.619999999999997,10.77,0.0,0.0,1.15,0.22999999999999998,0.0,0.0
"7s,6c",,0.09,0.68,0.22,-80940,919060,27.73,27.02,3.56,1.25,0.44999999999999996,0.0,0.1,0.02,0.0,0.0
"7s,5c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"7s,4c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"7s,3c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"7s,2c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"6s,6c",,0.27,0.0,0.72,804700,1804700,0.0,72.36,15.879999999999999,10.57,0.0,0.0,1.02,0.16999999999999998,0.0,0.0
"6s,5c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"6s,4c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"6s,3c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"6s,2c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"5s,5c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"5s,4c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"5s,3c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"5s,2c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"4s,4c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"4s,3c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"4s,2c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"3s,3c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"3s,2c",,0.0,1.0,0.0,-100000,900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"14c,13c",,0.37,0.57,0.06,84360,1084360,52.1,40.62,4.390000000000001,1.51,0.4,0.8999999999999999,0.06999999999999999,0.01,0.0,0.0
"14c,12c",,0.36,0.57,0.06,68120,1068120,52.68000000000001,40.54,3.9600000000000004,1.5599999999999998,0.44,0.73,0.08,0.01,0.0,0.0
"14c,11c",,0.37,0.57,0.05,105380,1105380,52.15,40.87,4.14,1.53,0.36,0.89,0.05,0.0,0.0,0.01
"14c,10c",,0.23,0.58,0.18,-160,999840,47.73,38.74,3.74,1.68,0.32,0.88,0.08,0.01,0.0,0.0
"14c,9c",,0.23,0.58,0.18,-530,999470,46.989999999999995,39.06,3.73,1.73,0.0,1.01,0.13,0.0,0.0,0.0
"14c,8c",,0.23,0.58,0.18,-7560,992440,47.52,38.51,3.95,1.6400000000000001,0.0,0.97,0.11,0.0,0.0,0.0
"14c,7c",,0.24,0.58,0.17,11780,1011780,47.69,38.3,4.31,1.52,0.0,1.11,0.11,0.02,0.0,0.0
"14c,6c",,0.22,0.59,0.17,-11760,988240,47.8,38.23,4.03,1.54,0.0,0.97,0.02,0.01,0.0,0.0
"14c,5c",,0.2,0.74,0.05,-58590,941410,33.48,31.080000000000002,3.7699999999999996,1.52,0.01,0.91,0.08,0.01,0.0,0.0
"14c,4c",,0.2,0.75,0.04,-67550,932450,33.58,30.97,3.52,1.31,0.05,0.8200000000000001,0.08,0.0,0.0,0.0
"14c,3c",,0.2,0.74,0.05,-63820,936180,32.84,31.319999999999997,3.53,1.44,0.02,0.8699999999999999,0.08,0.01,0.0,0.0
"14c,2c",,0.2,0.74,0.05,-56040,943960,33.43,30.81,3.93,1.35,0.0,0.9400000000000001,0.08,0.01,0.0,0.0
"13c,12c",,0.37,0.56,0.06,130440,1130440,51.849999999999994,40.699999999999996,4.01,1.8900000000000001,0.61,0.86,0.04,0.0,0.03,0.01
"13c,11c",,0.36,0.57,0.06,78400,1078400,52.61,40.239999999999995,4.07,1.52,0.59,0.8500000000000001,0.11,0.01,0.0,0.0
"13c,10c",,0.23,0.58,0.18,4500,1004500,47.44,38.41,3.8899999999999997,1.5,0.65,0.86,0.11,0.02,0.0,0.0
"13c,9c",,0.23,0.58,0.18,-5810,994190,47.589999999999996,38.64,3.8899999999999997,1.52,0.35000000000000003,0.79,0.08,0.01,0.0,0.0
