Player's hand,Other player's cards,Win %,Lose %,Push %,Total profit $,Ending bankroll $,High Card %,Pair %,Two Pair %,Trips %,Straight %,Flush %,Full House %,Quads %,Straight Flush %,Royal Flush %
"6s,4c",,0.11,0.69,0.18,-182960,817040,52.959999999999994,40.07,4.09,1.72,1.08,0.0,0.06999999999999999,0.01,0.0,0.0
"6s,3c",,0.11,0.7,0.18,-191240,808760,52.96999999999999,40.71,4.06,1.48,0.65,0.0,0.1,0.03,0.0,0.0
"6s,2c",,0.11,0.7,0.18,-195240,804760,54.36,39.190000000000005,4.31,1.6199999999999999,0.42,0.0,0.06999999999999999,0.03,0.0,0.0
"5s,5c",,0.28,0.72,0.0,49680,1049680,0.0,71.97,15.9,10.93,0.0,0.0,0.9400000000000001,0.26,0.0,0.0
"5s,4c",,0.12,0.81,0.06,-230160,769840,52.22,40.58,4.37,1.49,1.24,0.0,0.1,0.0,0.0,0.0
"5s,3c",,0.11,0.82,0.06,-234360,765640,53.959999999999994,39.08,4.18,1.5699999999999998,1.11,0.0,0.08,0.02,0.0,0.0
"5s,2c",,0.11,0.82,0.06,-248240,751760,52.449999999999996,41.370000000000005,4.0,1.44,0.65,0.0,0.09,0.0,0.0,0.0
"4s,4c",,0.28,0.71,0.0,48120,1048120,0.0,71.8,16.16,10.870000000000001,0.0,0.0,0.9299999999999999,0.24,0.0,0.0
"4s,3c",,0.11,0.83,0.05,-247440,752560,53.190000000000005,40.400000000000006,3.8899999999999997,1.5599999999999998,0.91,0.0,0.05,0.0,0.0,0.0
"4s,2c",,0.1,0.83,0.06,-255920,744080,53.800000000000004,40.31,3.8699999999999997,1.38,0.54,0.0,0.1,0.0,0.0,0.0
"3s,3c",,0.28,0.71,0.0,55720,1055720,0.0,71.25,16.55,10.76,0.0,0.0,1.26,0.18,0.0,0.0
"3s,2c",,0.11,0.82,0.06,-246520,753480,52.99,40.93,3.85,1.44,0.67,0.0,0.11,0.01,0.0,0.0
"14c,13c",,0.36,0.57,0.06,-9200,990800,52.12,40.96,4.130000000000001,1.4200000000000002,0.37,0.9199999999999999,0.06999999999999999,0.0,0.0,0.01
"14c,12c",,0.37,0.56,0.06,-23960,976040,52.03,40.78,4.26,1.69,0.27,0.88,0.09,0.0,0.0,0.0
"14c,11c",,0.35,0.58,0.06,-13840,986160,53.010000000000005,39.93,4.16,1.6,0.27,0.91,0.11,0.0,0.0,0.01
"14c,10c",,0.24,0.57,0.17,-72760,927240,52.5,40.37,4.06,1.63,0.42,0.86,0.13,0.03,0.0,0.0
"14c,9c",,0.24,0.57,0.18,-82680,917320,52.449999999999996,40.43,4.569999999999999,1.7399999999999998,0.0,0.75,0.06,0.0,0.0,0.0
"14c,8c",,0.23,0.57,0.18,-84600,915400,52.769999999999996,40.949999999999996,3.7699999999999996,1.55,0.0,0.8699999999999999,0.06,0.03,0.0,0.0
"14c,7c",,0.23,0.58,0.17,-91280,908720,53.580000000000005,39.69,4.12,1.7999999999999998,0.0,0.73,0.08,0.0,0.0,0.0
"14c,6c",,0.22,0.58,0.19,-97920,902080,53.7,39.98,4.06,1.4000000000000001,0.0,0.8200000000000001,0.04,0.0,0.0,0.0
"14c,5c",,0.24,0.69,0.06,-131000,869000,53.03,40.43,4.0,1.34,0.33,0.75,0.11,0.01,0.0,0.0
"14c,4c",,0.24,0.69,0.05,-128760,871240,53.16,39.75,4.1000000000000005,1.7399999999999998,0.33999999999999997,0.8699999999999999,0.04,0.0,0.0,0.0
"14c,3c",,0.24,0.69,0.06,-121160,878840,51.129999999999995,41.8,3.9,1.8800000000000001,0.32,0.8500000000000001,0.11,0.01,0.0,0.0
"14c,2c",,0.24,0.69,0.06,-129240,870760,52.629999999999995,40.38,4.03,1.67,0.4,0.8,0.09,0.0,0.0,0.0
"13c,12c",,0.36,0.57,0.05,-22280,977720,52.900000000000006,39.85,4.02,1.6,0.65,0.76,0.2,0.02,0.0,0.0
"13c,11c",,0.36,0.57,0.06,-20120,979880,51.85999999999999,41.07,3.9600000000000004,1.48,0.6799999999999999,0.86,0.06999999999999999,0.01,0.01,0.0
"13c,10c",,0.25,0.56,0.18,-47720,952280,51.9,40.489999999999995,4.15,1.8800000000000001,0.7100000000000001,0.7799999999999999,0.08,0.0,0.0,0.01
"13c,9c",,0.24,0.58,0.17,-86120,913880,53.37,39.85,4.16,1.6,0.22,0.67,0.12,0.01,0.0,0.0
"13c,8c",,0.23,0.58,0.18,-95080,904920,53.779999999999994,39.86,3.91,1.54,0.0,0.86,0.04,0.01,0.0,0.0
"13c,7c",,0.24,0.57,0.18,-73960,926040,52.81,40.43,4.1000000000000005,1.48,0.0,0.96,0.16999999999999998,0.05,0.0,0.0
"13c,6c",,0.23,0.58,0.18,-89200,910800,53.37,39.94,4.22,1.4500000000000002,0.0,0.9199999999999999,0.1,0.0,0.0,0.0
"13c,5c",,0.23,0.7,0.06,-131960,868040,52.559999999999995,40.57,4.45,1.59,0.0,0.7000000000000001,0.1,0.03,0.0,0.0
"13c,4c",,0.23,0.7,0.06,-137880,862120,52.49,40.79,4.09,1.73,0.0,0.84,0.06,0.0,0.0,0.0
"13c,3c",,0.24,0.7,0.05,-133320,866680,53.03,40.61,3.6999999999999997,1.68,0.0,0.88,0.09,0.01,0.0,0.0
"13c,2c",,0.24,0.69,0.06,-132000,868000,52.49,40.62,4.3,1.71,0.0,0.8099999999999999,0.06,0.01,0.0,0.0
"12c,11c",,0.36,0.57,0.06,-11680,988320,51.99,40.53,4.02,1.54,0.9900000000000001,0.8,0.1,0.01,0.02,0.0
"12c,10c",,0.25,0.57,0.18,-56360,943640,51.739999999999995,40.86,4.1000000000000005,1.59,0.7799999999999999,0.74,0.16,0.0,0.03,0.0
"12c,9c",,0.25,0.56,0.18,-56840,943160,51.72,40.849999999999994,4.04,1.7500000000000002,0.54,0.95,0.13,0.0,0.02,0.0
"12c,8c",,0.24,0.58,0.17,-81200,918800,53.300000000000004,39.64,4.05,1.76,0.44,0.69,0.1,0.02,0.0,0.0
"12c,7c",,0.24,0.57,0.18,-82200,917800,52.669999999999995,40.29,4.44,1.72,0.0,0.8099999999999999,0.06999999999999999,0.0,0.0,0.0
"12c,6c",,0.23,0.57,0.19,-79840,920160,52.94,40.39,3.9699999999999998,1.55,0.0,1.0699999999999998,0.06,0.02,0.0,0.0
"12c,5c",,0.23,0.7,0.06,-135400,864600,53.39,39.83,4.33,1.41,0.0,0.96,0.08,0.0,0.0,0.0
"12c,4c",,0.23,0.7,0.05,-136640,863360,53.010000000000005,40.510000000000005,4.2,1.35,0.0,0.84,0.06,0.03,0.0,0.0
"12c,3c",,0.23,0.69,0.06,-135360,864640,52.75,40.52,4.3,1.59,0.0,0.76,0.08,0.0,0.0,0.0
"12c,2c",,0.24,0.69,0.06,-132640,867360,52.239999999999995,41.29,3.9600000000000004,1.6099999999999999,0.0,0.8,0.09,0.01,0.0,0.0
"11c,10c",,0.25,0.55,0.19,-38920,961080,50.529999999999994,41.120000000000005,4.53,1.6400000000000001,1.22,0.8099999999999999,0.11,0.0,0.04,0.0
"11c,9c",,0.24,0.57,0.18,-62200,937800,52.26,40.36,3.6900000000000004,1.72,1.0,0.83,0.12,0.01,0.01,0.0
"11c,8c",,0.24,0.57,0.18,-67840,932160,52.5,40.02,4.2299999999999995,1.66,0.74,0.77,0.06,0.0,0.02,0.0
"11c,7c",,0.24,0.56,0.19,-73400,926600,51.970000000000006,41.27,3.9800000000000004,1.54,0.37,0.8,0.03,0.03,0.01,0.0
"11c,6c",,0.23,0.58,0.18,-93680,906320,53.239999999999995,40.48,4.06,1.41,0.0,0.74,0.06,0.01,0.0,0.0
"11c,5c",,0.23,0.7,0.06,-141440,858560,52.739999999999995,41.089999999999996,3.9699999999999998,1.37,0.0,0.7799999999999999,0.04,0.01,0.0,0.0
"11c,4c",,0.23,0.7,0.06,-139680,860320,53.81,39.87,3.7199999999999998,1.59,0.0,0.95,0.06,0.0,0.0,0.0
"11c,3c",,0.23,0.7,0.06,-141600,858400,53.769999999999996,39.900000000000006,4.07,1.23,0.0,0.9299999999999999,0.1,0.0,0.0,0.0
"11c,2c",,0.23,0.7,0.06,-133280,866720,52.459999999999994,40.83,4.01,1.6,0.0,1.0,0.1,0.0,0.0,0.0
"10c,9c",,0.13,0.56,0.3,-96360,903640,51.03,40.8,3.9899999999999998,1.73,1.28,1.05,0.1,0.01,0.01,0.0
"10c,8c",,0.12,0.55,0.31,-108320,891680,51.27,40.83,4.74,1.53,0.8200000000000001,0.72,0.06999999999999999,0.01,0.01,0.0
"10c,7c",,0.12,0.56,0.31,-114800,885200,51.349999999999994,41.02,4.26,1.76,0.64,0.88,0.09,0.0,0.0,0.0
"10c,6c",,0.12,0.57,0.3,-128400,871600,52.66,40.36,4.109999999999999,1.7000000000000002,0.33999999999999997,0.77,0.06,0.0,0.0,0.0
"10c,5c",,0.11,0.7,0.18,-190480,809520,53.26,40.589999999999996,3.7600000000000002,1.59,0.0,0.67,0.13,0.0,0.0,0.0
"10c,4c",,0.11,0.7,0.18,-184000,816000,52.769999999999996,40.71,4.15,1.4200000000000002,0.0,0.8,0.13999999999999999,0.01,0.0,0.0
"10c,3c",,0.12,0.69,0.18,-173480,826520,51.78,41.39,4.15,1.5699999999999998,0.0,0.9400000000000001,0.15,0.02,0.0,0.0
"10c,2c",,0.12,0.7,0.17,-178240,821760,52.790000000000006,40.339999999999996,4.14,1.66,0.0,0.98,0.06999999999999999,0.02,0.0,0.0
"9c,8c",,0.12,0.56,0.31,-111840,888160,51.790000000000006,40.339999999999996,4.33,1.63,1.02,0.8200000000000001,0.05,0.02,0.0,0.0
"9c,7c",,0.12,0.56,0.31,-115360,884640,52.019999999999996,40.88,3.91,1.41,0.9400000000000001,0.74,0.08,0.0,0.02,0.0
"9c,6c",,0.12,0.57,0.3,-111320,888680,52.25,40.48,4.04,1.5699999999999998,0.64,0.95,0.04,0.01,0.02,0.0
"9c,5c",,0.11,0.7,0.18,-182920,817080,53.14,39.95,4.29,1.38,0.36,0.8099999999999999,0.06999999999999999,0.0,0.0,0.0
"9c,4c",,0.11,0.69,0.19,-181480,818520,52.7,40.52,4.17,1.7999999999999998,0.0,0.72,0.08,0.01,0.0,0.0
"9c,3c",,0.11,0.71,0.17,-189760,810240,53.97,39.7,3.8600000000000003,1.44,0.0,0.88,0.15,0.0,0.0,0.0
"9c,2c",,0.11,0.7,0.18,-185000,815000,52.71,40.98,3.93,1.43,0.0,0.84,0.09,0.02,0.0,0.0
"8c,7c",,0.11,0.57,0.3,-122640,877360,52.32,40.82,3.3300000000000005,1.5,1.25,0.69,0.06999999999999999,0.01,0.01,0.0
"8c,6c",,0.12,0.57,0.3,-113240,886760,52.239999999999995,40.35,4.07,1.59,0.8500000000000001,0.8,0.06,0.03,0.01,0.0
"8c,5c",,0.11,0.69,0.18,-175040,824960,53.010000000000005,39.92,3.9699999999999998,1.6500000000000001,0.5700000000000001,0.8500000000000001,0.01,0.02,0.0,0.0
"8c,4c",,0.11,0.7,0.18,-183880,816120,53.05,40.44,3.7600000000000002,1.49,0.27999999999999997,0.9199999999999999,0.06,0.0,0.0,0.0
"8c,3c",,0.11,0.7,0.17,-185960,814040,53.580000000000005,39.53,4.2299999999999995,1.7000000000000002,0.0,0.8699999999999999,0.09,0.0,0.0,0.0
"8c,2c",,0.1,0.71,0.18,-197320,802680,53.669999999999995,40.31,3.63,1.6,0.0,0.6799999999999999,0.11,0.0,0.0,0.0
"7c,6c",,0.13,0.56,0.3,-97440,902560,51.89,39.989999999999995,4.34,1.47,1.3,0.8500000000000001,0.12,0.02,0.02,0.0
"7c,5c",,0.12,0.7,0.17,-163800,836200,52.739999999999995,39.77,4.03,1.49,0.9900000000000001,0.8099999999999999,0.15,0.01,0.01,0.0
"7c,4c",,0.12,0.69,0.18,-169680,830320,53.11,39.47,4.07,1.67,0.59,0.97,0.12,0.0,0.0,0.0
"7c,3c",,0.11,0.7,0.17,-179200,820800,54.02,39.379999999999995,3.84,1.59,0.2,0.8699999999999999,0.08,0.01,0.01,0.0
"7c,2c",,0.1,0.7,0.18,-191920,808080,54.22,39.56,3.7800000000000002,1.58,0.0,0.74,0.11,0.01,0.0,0.0
"6c,5c",,0.13,0.68,0.18,-149200,850800,51.35999999999999,40.6,4.390000000000001,1.3299999999999998,1.4500000000000002,0.75,0.09,0.01,0.02,0.0
"6c,4c",,0.12,0.68,0.18,-162800,837200,51.03,41.36,4.08,1.58,1.06,0.79,0.1,0.0,0.0,0.0
"6c,3c",,0.11,0.69,0.18,-170960,829040,52.66,40.69,3.4299999999999997,1.54,0.8,0.6799999999999999,0.16999999999999998,0.02,0.01,0.0
"6c,2c",,0.11,0.69,0.18,-177200,822800,52.65,40.550000000000004,3.8899999999999997,1.59,0.35000000000000003,0.8699999999999999,0.09,0.01,0.0,0.0
"5c,4c",,0.13,0.8,0.06,-194000,806000,51.339999999999996,40.489999999999995,4.2299999999999995,1.6099999999999999,1.22,0.98,0.1,0.01,0.02,0.0
"5c,3c",,0.12,0.81,0.06,-208840,791160,52.38,40.26,3.9899999999999998,1.43,1.04,0.8,0.08,0.0,0.02,0.0
"5c,2c",,0.11,0.82,0.06,-224040,775960,52.33,40.550000000000004,3.94,1.48,0.8099999999999999,0.8,0.09,0.0,0.0,0.0
"4c,3c",,0.12,0.81,0.06,-211480,788520,51.949999999999996,40.48,4.08,1.6400000000000001,0.8099999999999999,0.9299999999999999,0.1,0.01,0.0,0.0
"4c,2c",,0.12,0.82,0.05,-219640,780360,51.800000000000004,41.0,3.91,1.63,0.58,0.9400000000000001,0.13999999999999999,0.0,0.0,0.0
"3c,2c",,0.11,0.81,0.06,-218400,781600,51.78,41.0,3.82,1.6500000000000001,0.7000000000000001,0.9299999999999999,0.11,0.01,0.0,0.0
