Player's hand,Other player's cards,Win %,Lose %,Push %,Avg profit $,Ending bankroll $,High Card %,Pair %,Two Pair %,Trips %,Straight %,Flush %,Full House %,Quads %,Straight Flush %,Royal Flush %
"Kc,Jd",,0.35,0.58,0.06,-4.81,-3815360,53.183400000000006,35.5312,4.0339,1.5778,0.6442,0.0,0.0928,0.01,0.0,0.0
"Kc,Jd",13x,0.31,0.62,0.06,-8.79,-7792640,56.6627,32.946999999999996,3.2202,1.1726999999999999,0.6915,0.0,0.050100000000000006,0.0051,0.0,0.0
"Kc,Jd","13x,13x",0.27,0.65,0.07,-12.7,-11704560,60.2948,30.079099999999997,2.3148999999999997,1.004,0.7357,0.0,0.0162,0.005399999999999999,0.0,0.0
"Kc,Jd","13x,13x,13x",0.22,0.7,0.07,-16.65,-15659520,64.24980000000001,26.6646,1.2292,1.0959,0.8126,0.0,0.0,0.0065,0.0,0.0
"Kc,Jd",2x,0.36,0.57,0.06,-3.97,-2975680,52.7162,36.240899999999996,4.1573,1.6324,0.6773,0.0,0.09990000000000002,0.0109,0.0,0.0
"Kc,Jd","2x,14x,3x",0.37,0.56,0.06,-2.9,-1906360,51.7718,37.1685,4.3675,1.7465000000000002,0.6953,0.0,0.1109,0.0111,0.0,0.0
"Kc,Jd","2x,14x,3x,12x,4x,10x",0.38,0.54,0.07,-1.65,-660280,50.5701,38.1746,4.7695,1.8905999999999998,0.486,0.0,0.1392,0.0155,0.0,0.0
"Kc,Jd","2x,14x,3x,12x,4x,10x,5x,9x",0.4,0.53,0.06,-0.09,906120,49.641999999999996,39.1828,5.0221,2.0673,0.4777,0.0,0.15430000000000002,0.0165,0.0,0.0
"Kc,Jd","2x,14x,3x,12x,4x,10x,5x,9x,6x,8x",0.42,0.52,0.05,1.32,2325200,48.686299999999996,39.2872,5.2882,2.2037999999999998,0.5440999999999999,0.0,0.183,0.0222,0.0,0.0
