Player's hand,Other player's cards,Win %,Lose %,Push %,Avg profit $,Ending bankroll $,High Card %,Pair %,Two Pair %,Trips %,Straight %,Flush %,Full House %,Quads %,Straight Flush %,Royal Flush %
"Kc,2d",,0.23,0.7,0.06,-15.79,-14799320,53.7768,23.3418,4.0666,1.5935000000000001,0.0,0.0,0.09079999999999999,0.0102,0.0,0.0
"Kc,2d",13x,0.18,0.75,0.06,-20.56,-19562120,57.354099999999995,19.926099999999998,3.2356000000000003,1.1984,0.0,0.0,0.0484,0.0052,0.0,0.0
"Kc,2d","13x,13x",0.12,0.8,0.07,-25.3,-24308960,61.1009,16.1547,2.2717,1.0198,0.0,0.0,0.0172,0.0058,0.0,0.0
"Kc,2d","13x,13x,13x",0.06,0.85,0.07,-30.16,-29166760,65.0835,11.8624,1.2050999999999998,1.0847,0.0,0.0,0.0,0.0072,0.0,0.0
"Kc,2d",2x,0.22,0.7,0.06,-16.75,-15756800,57.407799999999995,24.7116,3.2236000000000002,1.1932,0.0,0.0,0.0513,0.0049,0.0,0.0
"Kc,2d","2x,14x,3x",0.23,0.69,0.07,-16.04,-15047800,56.43749999999999,25.414900000000003,3.3869999999999996,1.283,0.0,0.0,0.052700000000000004,0.0048000000000000004,0.0,0.0
"Kc,2d","2x,14x,3x,12x,4x,10x",0.24,0.68,0.07,-14.99,-13992160,55.246399999999994,25.950200000000002,3.6745,1.4141000000000001,0.0,0.0,0.0712,0.0068,0.0,0.0
"Kc,2d","2x,14x,3x,12x,4x,10x,5x,9x",0.25,0.67,0.07,-13.88,-12886280,54.3168,26.7009,3.8946,1.4798,0.0,0.0,0.0817,0.0089,0.0,0.0
"Kc,2d","2x,14x,3x,12x,4x,10x,5x,9x,6x,8x",0.26,0.67,0.05,-13.07,-12080760,53.54,26.5113,4.0817,1.5969,0.0,0.0,0.09129999999999999,0.0101,0.0,0.0
