Player's hand,Other player's cards,Win %,Lose %,Push %,Avg profit $,Ending bankroll $,High Card %,Pair %,Two Pair %,Trips %,Straight %,Flush %,Full House %,Quads %,Straight Flush %,Royal Flush %
"5c,4c",,0.12,0.81,0.06,-20.22,-9115120,51.843399999999995,10.937800000000001,4.0368,1.5726,1.2758,0.831,0.0904,0.0126,0.015,0.0
"5c,4c",Jc,0.12,0.81,0.06,-20.65,-9327760,51.3698,10.8166,4.1424,1.6241999999999999,1.3556000000000001,0.6242,0.0944,0.0102,0.015799999999999998,0.0
"5c,4c","Jc,10c,9c",0.13,0.81,0.05,-20.6,-9301200,50.644800000000004,10.371,4.3574,1.7104000000000001,1.5604,0.3196,0.1082,0.0104,0.0168,0.0
"5c,4c","Jc,10c,9c,8c,Ac,8c",0.12,0.82,0.05,-21.05,-9530080,49.7698,9.690999999999999,4.668200000000001,1.8552,1.5482,0.12719999999999998,0.1284,0.013,0.012,0.0
"5c,4c",Jd,0.12,0.81,0.06,-19.89,-8948680,51.1914,10.844,4.1408000000000005,1.6126,1.3638000000000001,0.906,0.0946,0.0118,0.0136,0.0
"5c,4c","Jd,10d,9d",0.13,0.8,0.05,-18.31,-8157880,49.765,10.4144,4.4052,1.7274,1.5414,1.0410000000000001,0.1104,0.012,0.0212,0.0
"5c,4c","Jd,10d,9d,8d,Ad,8s",0.14,0.8,0.05,-17.2,-7603840,48.0612,9.6374,4.7706,1.9265999999999999,1.5388000000000002,1.2022,0.1352,0.0138,0.0246,0.0
"5c,4c","Jd,10d,9d,8d,Ad,8s,3s,6h",0.15,0.8,0.04,-16.35,-7179160,47.205000000000005,9.662600000000001,5.1318,2.091,1.1318,1.411,0.1442,0.017,0.0276,0.0
"5c,4c","Jd,10d,9d,8d,Ad,8s,3s,6h,2h,Jh",0.15,0.79,0.05,-14.72,-6361240,45.900999999999996,9.8412,5.4558,2.231,1.0988,1.6156,0.1786,0.025799999999999997,0.0334,0.0
