Player's hand,Other player's cards,Win %,Lose %,Push %,Avg profit $,Ending bankroll $,High Card %,Pair %,Two Pair %,Trips %,Straight %,Flush %,Full House %,Quads %,Straight Flush %,Royal Flush %
"5c,4c",,0.05,0.94,0.0,-16.27,983720,3.1,1.9,2.3,0.8999999999999999,0.0,1.0,0.0,0.0,0.0,0.0
"5c,4c",Xc,0.04,0.95,0.0,-17.95,982040,3.2,1.3,2.3,0.7000000000000001,0.1,0.7000000000000001,0.0,0.0,0.0,0.0
"5c,4c","Xc,Xc,Xc",0.05,0.94,0.0,-7.06,992930,3.5000000000000004,0.6,2.8000000000000003,1.3,0.0,0.2,0.1,0.2,0.1,0.0
"5c,4c","Xc,Xc,Xc,Xc,Xc,Xc",0.05,0.94,0.0,-15.73,984260,0.8999999999999999,0.8999999999999999,3.5000000000000004,0.8999999999999999,0.0,0.3,0.1,0.0,0.0,0.0
"5c,4c",Xd,0.04,0.94,0.0,-15.63,984360,3.5999999999999996,1.7000000000000002,1.7000000000000002,0.8999999999999999,0.1,0.7000000000000001,0.0,0.1,0.0,0.0
"5c,4c","Xd,Xs,Xh",0.05,0.93,0.0,-13.25,986740,3.6999999999999997,1.6,2.1999999999999997,1.0999999999999999,0.1,1.4000000000000001,0.2,0.0,0.0,0.0
"5c,4c","Xd,Xs,Xh,Xd,Xs,Xh",0.06,0.93,0.01,-14.47,985520,4.5,2.3,2.5,0.7000000000000001,0.1,1.0999999999999999,0.2,0.0,0.0,0.0
"5c,4c","Xd,Xs,Xh,Xd,Xs,Xh,Xd,Xs",0.06,0.93,0.01,-9.15,990840,5.2,2.1999999999999997,2.7,0.8999999999999999,0.0,1.0999999999999999,0.1,0.0,0.1,0.0
"5c,4c","Xd,Xs,Xh,Xd,Xs,Xh,Xd,Xs,Xh,Xd",0.05,0.93,0.0,-14.3,985690,5.7,2.0,1.9,0.5,0.2,2.0,0.0,0.0,0.0,0.0
