Player's hand,Other player's cards,Win %,Lose %,Push %,Avg profit $,Ending bankroll $,High Card %,Pair %,Two Pair %,Trips %,Straight %,Flush %,Full House %,Quads %,Straight Flush %,Royal Flush %
"Kc,2d",,0.18,0.76,0.05,-8.94,-7947150,31.823800000000002,18.645,3.4651,1.4077,0.0,0.0,0.0946,0.0116,0.0,0.0
"Kc,2d",13x,0.14,0.8,0.05,-14.4,-13406530,33.881,16.0944,2.7929,1.0277,0.0,0.0,0.0478,0.0043,0.0,0.0
"Kc,2d","13x,13x",0.1,0.84,0.05,-19.54,-18541040,36.0585,13.204699999999999,1.9234999999999998,0.8881999999999999,0.0,0.0,0.0206,0.0056,0.0,0.0
"Kc,2d","13x,13x,13x",0.06,0.88,0.06,-24.7,-23702050,38.447199999999995,9.9152,0.9952000000000001,0.9275,0.0,0.0,0.0,0.0051,0.0,0.0
"Kc,2d",2x,0.18,0.76,0.05,-9.92,-8924560,33.8421,19.856199999999998,2.7809,1.0475999999999999,0.0,0.0,0.051699999999999996,0.004699999999999999,0.0,0.0
"Kc,2d","2x,14x,3x",0.19,0.75,0.05,-9.22,-8222040,33.8363,20.4325,2.9738,1.1372,0.0,0.0,0.0525,0.0063,0.0,0.0
"Kc,2d","2x,14x,3x,12x,4x,10x",0.19,0.74,0.05,-7.96,-6967610,33.249,20.8928,3.241,1.2466,0.0,0.0,0.0677,0.009899999999999999,0.0,0.0
"Kc,2d","2x,14x,3x,12x,4x,10x,5x,9x",0.21,0.73,0.05,-6.75,-5756690,33.6839,21.7896,3.45,1.3706,0.0,0.0,0.0805,0.0078,0.0,0.0
"Kc,2d","2x,14x,3x,12x,4x,10x,5x,9x,6x,8x",0.21,0.73,0.04,-5.82,-4827070,32.610299999999995,21.351100000000002,3.6174999999999997,1.4262000000000001,0.0,0.0,0.0866,0.0093,0.0,0.0
