Player's hand,Other player's cards,Win %,Lose %,Push %,Avg profit $,Ending bankroll $,High Card %,Pair %,Two Pair %,Trips %,Straight %,Flush %,Full House %,Quads %,Straight Flush %,Royal Flush %
"10c,9d",,0.1,0.67,0.22,-6.89,309970,26.831,26.624,3.1809999999999996,1.4160000000000001,1.308,0.0,0.076,0.013,0.0,0.0
"10c,9d",2x,0.1,0.66,0.22,-6.35,364250,27.514,27.293,3.3709999999999996,1.3679999999999999,1.38,0.0,0.084,0.013999999999999999,0.0,0.0
"10c,9d","2x,5x,3x",0.11,0.64,0.24,-4.63,535900,28.67,29.043000000000003,3.7920000000000003,1.548,1.539,0.0,0.11,0.006,0.0,0.0
"10c,9d","2x,5x,3x,4x,2x,5x",0.13,0.59,0.27,-0.89,909910,29.598999999999997,32.856,4.352,1.825,1.8880000000000001,0.0,0.11900000000000001,0.021,0.0,0.0
"10c,9d","2x,5x,3x,4x,2x,5x,3x,4x",0.15,0.55,0.29,1.71,1171400,30.526999999999997,35.581,4.855,1.951,2.174,0.0,0.151,0.022000000000000002,0.0,0.0
"10c,9d","2x,5x,3x,4x,2x,5x,3x,4x,2x,5x",0.17,0.51,0.31,4.96,1496180,31.636999999999997,38.394,5.415,2.213,2.597,0.0,0.20500000000000002,0.019,0.0,0.0
