Player's hand,Other player's cards,Win %,Lose %,Push %,Avg profit $,Ending bankroll $,High Card %,Pair %,Two Pair %,Trips %,Straight %,Flush %,Full House %,Quads %,Straight Flush %,Royal Flush %
"5c,4c",,0.05,0.94,0.0,-14.33,-433260,3.526,1.546,2.4819999999999998,1.012,0.082,0.814,0.092,0.016,0.019,0.0
"5c,4c",Xc,0.05,0.94,0.0,-14.99,-499900,3.2039999999999997,1.469,2.548,1.118,0.056999999999999995,0.629,0.108,0.011000000000000001,0.013,0.0
"5c,4c","Xc,Xc,Xc",0.05,0.94,0.0,-15.91,-591240,2.39,1.158,2.682,1.195,0.041,0.35500000000000004,0.106,0.012,0.005,0.0
"5c,4c","Xc,Xc,Xc,Xc,Xc,Xc",0.04,0.95,0.0,-16.08,-608540,1.303,0.759,2.656,1.269,0.02,0.074,0.13999999999999999,0.019,0.003,0.0
"5c,4c",Xd,0.05,0.93,0.0,-14.46,-446660,3.6799999999999997,1.5699999999999998,2.608,1.06,0.052,0.868,0.091,0.013,0.013,0.0
"5c,4c","Xd,Xs,Xh",0.05,0.93,0.0,-13.45,-346080,3.833,1.696,2.524,1.072,0.07200000000000001,0.9780000000000001,0.074,0.015,0.025,0.0
"5c,4c","Xd,Xs,Xh,Xd,Xs,Xh",0.05,0.93,0.0,-13.52,-352400,4.242,1.748,2.407,0.9950000000000001,0.084,1.16,0.086,0.008,0.022000000000000002,0.0
"5c,4c","Xd,Xs,Xh,Xd,Xs,Xh,Xd,Xs",0.06,0.93,0.01,-13.07,-307630,4.626,1.884,2.4619999999999997,0.984,0.079,1.456,0.06,0.006,0.017,0.0
"5c,4c","Xd,Xs,Xh,Xd,Xs,Xh,Xd,Xs,Xh,Xd",0.06,0.93,0.01,-11.97,-197390,4.933,1.876,2.308,0.923,0.08800000000000001,1.744,0.076,0.006,0.023,0.0
